CPF,NOME,ENDERECO,COMPLEMENTO,BAIRRO,CIDADE,ESTADO,CEP,DATA DE NASCIMENTO,IDADE,SEXO,LIMITE DE CREDITO,VOLUME DE COMPRA,PRIMEIRA COMPRA
069.543.218-42,Alana das Neves,"Viaduto de Gomes, 96",5,Mirante,Rodrigues Paulista,CE,20770-429,1970-11-03,49,F,1272.51,8575.46,False
916.570.384-75,Cecília Andrade,"Praça de Montenegro, 34",127,Vila Piratininga Venda Nova,Silveira das Pedras,CE,07304542,1957-09-07,89,M,2351.79,7620.96,False
180.342.796-50,Isabelly Silveira,"Área de Rios, 30",12,Bairro Das Indústrias Ii,Fogaça,CE,04464-490,1947-12-17,56,F,4452.25,4223.97,True
025.817.936-86,Sophie Freitas,"Quadra Fogaça, 4",7,Vila São Rafael,Rezende Alegre,CE,96703984,1934-08-07,74,F,4750.39,154.63,False
562.083.741-62,José Pedro Aragão,"Trevo de Caldeira, 326",2,Solar Do Barreiro,Monteiro,CE,40973-904,2004-02-29,76,F,999.99,5058.76,False
593.460.182-24,Thiago Nascimento,"Setor Maria Eduarda Costela, 534",63,Nossa Senhora Da Aparecida,Martins Verde,CE,71223910,1983-04-25,63,M,1891.06,2731.93,True
967.358.142-82,Emilly Melo,"Morro Leão, 87",9,Aeroporto,Sá das Flores,CE,98344737,1978-07-09,62,M,4355.37,1743.66,False
635.914.072-16,Srta. Kamilly Sampaio,"Quadra Fonseca, 92",6,Ademar Maldonado,Nogueira,CE,39969910,1982-10-13,50,M,1377.23,1052.73,False
581.239.407-50,Dr. Pedro Vargas,Distrito de Cunha,6,Vista Alegre,Moreira de Sá,CE,42910-370,1963-06-20,25,F,1040.65,8220.93,False
391.640.725-25,Dra. Luna Machado,"Quadra Pedro Lopes, 57",4,Belmonte,Martins da Mata,CE,37736-048,1981-08-27,45,M,3035.3,4456.37,False
824.593.016-42,Danilo da Paz,Praça Luiz Fernando da Rosa,825,Laranjeiras,Gomes Verde,CE,67440906,1967-01-06,25,M,4608.44,8690.45,True
142.306.785-17,Joaquim Castro,"Distrito Fonseca, 742",15,Cenaculo,Barros,CE,42120-397,1952-06-06,64,F,1579.32,7321.33,True
105.864.392-42,Bryan Araújo,"Quadra Maria Luísa Machado, 89",66,Milionario,Siqueira do Amparo,CE,89512826,1996-01-17,87,M,1539.05,269.04,True
354.027.861-35,Laura Castro,"Estação Fogaça, 60",21,Paraíso,Sampaio,CE,60730-865,2001-08-30,65,M,4331.58,4567.31,False
608.492.715-76,Manuela da Conceição,"Estação Olivia Azevedo, 61",69,Vila Atila De Paiva,Nogueira,CE,78406-328,1974-11-22,22,F,3623.92,1894.59,True
035.694.827-74,Bárbara Nogueira,"Estação de das Neves, 8",63,Vila Boa Vista,Silva,CE,65471942,1965-03-17,65,M,4902.1,4332.82,False
692.037.851-59,Davi Lucca Sales,"Praia de Andrade, 12",1,Suzana,Albuquerque do Galho,CE,77979767,1968-05-01,83,M,2968.72,5183.28,True
945.186.037-10,Dra. Stephany Barros,"Vereda Duarte, 27",809,Vila Nova Gameleira 3ª Seção,Rodrigues de Pinto,CE,26094-049,1940-08-18,49,M,3543.09,2945.77,False
618.279.503-40,Jade Vargas,"Estação de Garcia, 171",85,Vila Da Paz,da Mota Paulista,CE,84687-893,1937-01-31,51,F,4847.51,9248.65,True
578.631.490-10,Luiz Otávio Novaes,"Alameda Martins, 94",6,Vila Antena,Aragão do Amparo,CE,59867-029,1942-11-02,82,F,2521.19,376.21,True
420.786.913-13,Dra. Emilly Cirino,"Rodovia Thiago Vasconcelos, 9",94,Primeiro De Maio,Brito,CE,16057493,2003-02-03,79,F,4398.38,6794.68,False
347.596.801-01,Sr. Vinícius Camargo,"Rodovia Ravi Ramos, 64",724,Novo Das Industrias,Correia do Campo,CE,19637-253,1943-03-05,31,M,4873.98,8630.59,False
493.687.051-00,Giovanna Ferreira,"Vale Siqueira, 82",556,Canadá,Sales do Galho,CE,79003134,1989-03-27,66,M,2234.99,9794.32,False
026.143.795-06,Cecília Monteiro,"Avenida Pedro Miguel Carvalho, 21",46,Esperança,Garcia,CE,84477851,1959-02-28,50,M,3766.39,2204.89,True
316.204.879-69,Melissa Rios,"Trevo Sophia Santos, 55",71,Pindorama,Rezende da Serra,CE,79811288,1943-01-26,63,F,3769.07,2587.71,False
857.496.031-48,Maria Helena Oliveira,"Esplanada de Gonçalves, 52",53,Acaba Mundo,Macedo do Norte,CE,30629531,1965-05-26,35,M,3971.02,646.79,True
375.612.809-12,Breno Cassiano,"Praia Teixeira, 17",76,São Gonçalo,Farias Verde,CE,62040-012,1951-09-03,73,M,4090.24,5732.5,True
874.519.062-30,Benjamim Martins,"Área Carolina Costela, 57",597,Vila Inestan,Costa Alegre,CE,09925-689,1982-01-21,64,M,4080.43,9900.71,False
258.034.967-74,Mariane da Conceição,"Parque Arthur Miguel Caldeira, 21",9,Floramar,Lopes,CE,99224-337,2004-08-11,59,F,734.78,3396.5,False
630.749.152-34,Dra. Luana Jesus,"Rodovia da Paz, 87",174,Boa União 2ª Seção,Rodrigues de Minas,CE,43157-621,1945-07-12,62,M,4612.39,7351.86,True
925.103.476-16,Ana Lívia Sales,Núcleo de Vieira,15,Sport Club,Silva,CE,12592-724,2004-12-11,53,M,1980.99,2936.23,False
596.302.471-43,Noah Monteiro,"Jardim Dias, 55",196,Conjunto Santa Maria,Araújo,CE,40813377,1947-10-15,89,M,4641.97,8945.58,False
546.790.218-02,Maria Fernanda Rios,"Loteamento de Costela, 95",62,Taquaril,Campos,CE,21363702,1969-05-11,50,M,4087.56,8115.94,False
017.465.382-44,Allana Fonseca,Trevo Clara Viana,9,Mineirão,Pacheco do Oeste,CE,29402818,1991-09-29,27,F,1249.98,6410.57,True
723.981.640-04,Henry Gabriel Vieira,"Lago Rezende, 4",51,Vila Real 1ª Seção,Novaes,CE,66098898,1959-03-08,25,M,3222.26,8836.21,False
251.648.739-82,Sr. Vitor Gabriel Andrade,Morro Garcia,816,Jardim Leblon,Caldeira das Pedras,CE,57903292,1997-03-15,33,M,3284.58,6272.37,False
951.073.284-23,Luan da Luz,"Praia de Novais, 70",97,Cardoso,Mendonça do Norte,CE,63841180,2005-10-12,27,M,701.45,4772.34,False
