CPF,MATRICULA,DATA,NUMERO,IMPOSTO,REDE
025.817.936-86,VEN004,2024-06-23,NF0000,10.81,Empodera Juazeiro
548.369.107-57,VEN017,2025-01-25,NF0001,10.88,Empodera Fortaleza
056.948.213-51,VEN019,2024-06-14,NF0002,5.55,Empodera Fortaleza
874.519.062-30,VEN012,2024-08-16,NF0003,15.43,Empodera Fortaleza
504.782.619-85,VEN000,2025-02-16,NF0004,9.57,Empodera Juazeiro
618.279.503-40,VEN004,2025-04-13,NF0005,8.16,Empodera Fortaleza
056.948.213-51,VEN008,2024-08-16,NF0006,16.46,Empodera Sobral
836.905.714-48,VEN016,2025-04-17,NF0007,7.25,Empodera Sobral
504.782.619-85,VEN005,2025-02-25,NF0008,15.13,Empodera Juazeiro
723.981.640-04,VEN001,2024-10-27,NF0009,11.15,Empodera Sobral
479.150.823-88,VEN019,2025-01-05,NF0010,17.88,Empodera Juazeiro
025.817.936-86,VEN008,2024-07-08,NF0011,10.39,Empodera Fortaleza
129.758.436-82,VEN013,2025-05-06,NF0012,16.13,Empodera Juazeiro
391.640.725-25,VEN003,2024-09-23,NF0013,11.88,Empodera Sobral
967.358.142-82,VEN018,2024-05-21,NF0014,9.18,Empodera Fortaleza
035.694.827-74,VEN011,2024-09-06,NF0015,5.68,Empodera Juazeiro
865.720.431-26,VEN017,2024-08-28,NF0016,17.39,Empodera Sobral
504.782.619-85,VEN013,2025-05-07,NF0017,9.21,Empodera Sobral
951.073.284-23,VEN015,2024-10-27,NF0018,8.56,Empodera Juazeiro
172.453.069-07,VEN008,2024-08-09,NF0019,17.5,Empodera Juazeiro
672.451.083-07,VEN005,2024-11-05,NF0020,14.31,Empodera Juazeiro
418.023.769-50,VEN012,2024-06-21,NF0021,18.62,Empodera Fortaleza
857.496.031-48,VEN013,2024-07-10,NF0022,15.59,Empodera Sobral
485.063.971-20,VEN002,2024-12-09,NF0023,6.79,Empodera Fortaleza
180.342.796-50,VEN006,2024-09-30,NF0024,15.17,Empodera Sobral
347.596.801-01,VEN002,2025-03-12,NF0025,16.39,Empodera Fortaleza
857.346.109-84,VEN008,2025-05-11,NF0026,18.9,Empodera Fortaleza
395.128.067-03,VEN010,2024-10-06,NF0027,8.81,Empodera Sobral
035.694.827-74,VEN019,2025-04-23,NF0028,13.76,Empodera Fortaleza
354.027.861-35,VEN002,2024-11-11,NF0029,9.95,Empodera Fortaleza
172.453.069-07,VEN017,2025-02-24,NF0030,11.19,Empodera Juazeiro
630.749.152-34,VEN012,2025-03-22,NF0031,13.74,Empodera Juazeiro
931.570.648-00,VEN019,2024-05-31,NF0032,13.6,Empodera Sobral
629.485.701-58,VEN006,2025-04-11,NF0033,13.64,Empodera Fortaleza
172.453.069-07,VEN007,2024-10-12,NF0034,10.27,Empodera Fortaleza
075.613.948-10,VEN006,2024-12-08,NF0035,13.24,Empodera Juazeiro
310.678.594-20,VEN001,2024-12-23,NF0036,14.03,Empodera Sobral
854.063.219-51,VEN006,2024-09-25,NF0037,5.42,Empodera Juazeiro
038.941.625-89,VEN018,2024-07-08,NF0038,9.6,Empodera Fortaleza
504.782.619-85,VEN008,2024-10-18,NF0039,18.62,Empodera Fortaleza
102.935.687-40,VEN008,2025-01-24,NF0040,12.31,Empodera Sobral
618.279.503-40,VEN000,2024-07-21,NF0041,13.6,Empodera Juazeiro
945.186.037-10,VEN019,2025-01-30,NF0042,8.7,Empodera Sobral
026.143.795-06,VEN002,2024-10-02,NF0043,19.73,Empodera Sobral
751.486.029-02,VEN017,2025-03-04,NF0044,17.68,Empodera Fortaleza
592.301.648-60,VEN003,2024-06-30,NF0045,15.25,Empodera Fortaleza
072.631.594-06,VEN004,2025-02-16,NF0046,11.54,Empodera Sobral
618.279.503-40,VEN006,2024-09-22,NF0047,16.76,Empodera Juazeiro
593.460.182-24,VEN019,2025-02-18,NF0048,12.19,Empodera Sobral
931.570.648-00,VEN005,2024-08-18,NF0049,14.33,Empodera Sobral
